,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
138,Patrick McFarland\mcfarpa01,3,1974,1976,148,1977,414,903,11,42,108,140,114,298,219,76,12,178,149,947,0.458,0.262,0.771,13.4,6.4,2,1.5,Dec 7 1951,Philadelphia
139,Aaron McKie\mckieaa01,13,1995,2007,793,19156,2265,5177,388,1109,953,1224,482,2587,2126,912,164,1059,1588,5871,0.438,0.35,0.779,24.2,7.4,3.3,2.7,Oct 2 1972,Philadelphia
140,Bob McNeill\mcneibo01,2,1961,1962,125,1828,222,563,,,131,160,,179,327,,,,204,575,0.394,,0.819,14.6,4.6,1.4,2.6,Oct 22 1938,Philadelphia
141,Carl Meinhold\meinhca01,2,1948,1949,98,,209,662,,,98,156,,,63,,,,124,516,0.316,,0.628,,5.3,,0.6,Mar 29 1926,West Hazleton
142,Bill Melchionni\melchbi01,9,1967,1976,646,16787,2753,6002,37,157,1327,1640,223,1284,3247,172,20,1271,1398,6870,0.459,0.236,0.809,26,10.6,2,5,Oct 19 1944,Philadelphia
143,Ed Melvin\melvied01,1,1947,1947,57,,99,376,,,83,127,,,37,,,,150,281,0.263,,0.654,,4.9,,0.6,Feb 13 1916,Pittsburgh
144,Red Mihalik\mihalre01,1,1947,1947,7,,3,9,,,0,0,,,0,,,,10,6,0.333,,,,0.9,,0,Sep 22 1916,Ford City
145,Larry Miller\millela01,7,1969,1975,486,14941,2450,5670,82,331,1613,2228,935,2434,1155,57,6,940,1091,6595,0.432,0.248,0.724,30.7,13.6,5,2.4,Apr 4 1946,Allentown
146,Walt Miller\millewa01,1,1947,1947,12,,7,21,,,9,18,,,6,,,,16,23,0.333,,0.5,,1.9,,0.5,Jul 20 1915,Homestead
147,Bill Mlkvy\mlkvybi01,1,1953,1953,31,608,75,246,,,31,48,,101,62,,,,54,181,0.305,,0.646,19.6,5.8,3.3,2,Jan 19 1931,Palmerton
148,Cuttino Mobley\moblecu01,11,1999,2009,747,27618,4319,9979,1085,2867,2241,2684,543,2902,2015,878,313,1520,1710,11964,0.433,0.378,0.835,37,16,3.9,2.7,Sep 1 1975,Philadelphia
149,Earl Monroe*\monroea01,13,1968,1980,926,29636,6906,14898,0,0,3642,4513,260,2796,3594,473,121,305,2416,17454,0.464,,0.807,32,18.8,3,3.9,Nov 21 1944,Philadelphia
150,Jim Mooney\mooneji01,1,1953,1953,18,529,54,148,,,27,40,,70,35,,,,50,135,0.365,,0.675,29.4,7.5,3.9,1.9,Jul 8 1930,Philadelphia
151,Jackie Moore\mooreja01,3,1955,1957,134,1178,137,350,,,91,146,,338,67,,,,217,365,0.391,,0.623,8.8,2.7,2.5,0.5,Sep 24 1932,Philadelphia
152,Johnny Moore\moorejo01,9,1981,1990,520,13430,1998,4343,94,374,800,1123,391,1548,3866,1017,116,1163,1325,4890,0.46,0.251,0.712,25.8,9.4,3,7.4,Mar 3 1958,Altoona
153,Marcus Morris\morrima03,9,2012,2020,600,16181,2652,6151,890,2425,1054,1389,584,2795,905,421,168,721,1297,7248,0.431,0.367,0.759,27,12.1,4.7,1.5,Sep 2 1989,Philadelphia
