,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
327,Phil Smith\smithph01,9,1975,1983,659,19166,4007,8418,19,75,1891,2428,588,1978,2561,734,165,990,1680,9924,0.476,0.253,0.779,29.1,15.1,3,3.9,Apr 22 1952,San Francisco
328,Reggie Smith\smithre01,2,1993,1994,66,384,39,99,0,1,21,52,55,120,5,16,7,16,63,99,0.394,0,0.404,5.8,1.5,1.8,0.1,Aug 21 1970,San Jose
329,Robert Smith\smithro01,7,1978,1985,229,3118,417,958,10,42,291,332,70,288,401,119,21,194,382,1135,0.435,0.238,0.877,13.6,5,1.3,1.8,Mar 10 1955,Los Angeles
330,Tony Snell\snellto01,7,2014,2020,501,11278,1178,2755,621,1611,259,309,138,1156,582,237,118,289,701,3236,0.428,0.385,0.838,22.5,6.5,2.3,1.2,Nov 10 1991,Los Angeles
331,Kirk Snyder\snydeki01,4,2005,2008,211,3540,489,1116,92,281,263,376,152,491,241,86,69,206,328,1333,0.438,0.327,0.699,16.8,6.3,2.3,1.1,Jun 5 1983,Los Angeles
332,Andre Spencer\spencan01,2,1993,1994,48,771,125,281,0,2,96,131,68,154,46,36,14,47,107,346,0.445,0,0.733,16.1,7.2,3.2,1,Jul 20 1964,Stockton
333,Joe Stephens\stephjo01,3,1997,2000,22,227,30,84,4,21,7,10,18,45,12,12,3,11,14,71,0.357,0.19,0.7,10.3,3.2,2,0.5,Jan 28 1973,Riverside
334,Alex Stepheson\stephal01,1,2016,2016,8,73,9,27,0,0,4,12,19,28,2,1,5,0,12,22,0.333,,0.333,9.1,2.8,3.5,0.3,Aug 7 1987,Los Angeles
335,DeShawn Stevenson\stevede01,13,2001,2013,824,18396,2238,5515,550,1617,904,1296,410,1832,1355,423,134,814,1140,5930,0.406,0.34,0.698,22.3,7.2,2.2,1.6,Apr 3 1981,Fresno
336,Derek Strong\stronde01,10,1992,2001,456,8548,1067,2483,11,61,943,1199,783,2213,291,203,94,421,740,3088,0.43,0.18,0.786,18.7,6.8,4.9,0.6,Feb 9 1968,Los Angeles
337,Dane Suttle\suttlda01,2,1984,1985,46,493,115,227,0,4,42,49,21,49,48,21,0,33,49,272,0.507,0,0.857,10.7,5.9,1.1,1,Aug 9 1961,Los Angeles
338,Greg Sutton\suttogr01,3,1992,1996,168,1946,272,687,116,321,101,136,22,153,284,84,13,183,317,761,0.396,0.361,0.743,11.6,4.5,0.9,1.7,Dec 3 1967,Santa Cruz
339,Keith Swagerty\swageke01,2,1969,1970,80,2477,364,892,0,6,259,424,327,828,95,,,114,242,987,0.408,0,0.611,31,12.3,10.4,1.2,Oct 30 1945,San Jose
340,Robert Swift\swiftro01,4,2005,2009,97,1500,172,340,0,0,72,118,122,376,20,26,86,71,224,416,0.506,,0.61,15.5,4.3,3.9,0.2,Dec 3 1985,Bakersfield
341,Anthony Taylor\tayloan01,1,1989,1989,21,368,60,151,0,2,24,32,11,34,43,22,5,20,37,144,0.397,0,0.75,17.5,6.9,1.6,2,Nov 30 1965,Los Angeles
342,Isaiah Taylor\taylois01,2,2017,2018,71,1219,164,397,20,82,100,143,23,97,209,35,11,84,122,448,0.413,0.244,0.699,17.2,6.3,1.4,2.9,Jul 11 1994,Hayward
343,Leonard Taylor\taylole01,1,1990,1990,10,37,0,6,0,1,11,16,4,12,1,0,0,5,4,11,0,0,0.688,3.7,1.1,1.2,0.1,May 2 1966,Los Angeles
344,Ronald Taylor\tayloro01,3,1970,1972,77,939,157,337,0,0,57,103,121,294,68,,,125,229,371,0.466,,0.553,12.2,4.8,3.8,0.9,Nov 21 1947,Torrance
345,Chuck Terry\terrych01,5,1973,1977,341,5049,563,1345,10,31,162,209,233,818,262,151,24,91,641,1298,0.419,0.323,0.775,14.8,3.8,2.4,0.8,Sep 27 1950,Long Beach
346,Claude Terry\terrycl01,6,1973,1978,349,4303,779,1663,47,139,329,419,185,499,457,111,11,310,435,1934,0.468,0.338,0.785,12.3,5.5,1.4,1.3,Jan 12 1950,Salida
347,Reggie Theus\theusre01,13,1979,1991,1026,34603,7057,14973,238,945,4663,5644,1182,3349,6453,1206,236,3493,3008,19015,0.471,0.252,0.826,33.7,18.5,3.3,6.3,Oct 13 1957,Inglewood
348,Peter Thibeaux\thibepe01,2,1985,1986,93,992,194,428,2,7,72,115,57,144,45,34,32,73,167,462,0.453,0.286,0.626,10.7,5,1.5,0.5,Oct 3 1961,Los Angeles
349,Dijon Thompson\thompdi01,2,2006,2007,16,93,17,40,4,13,7,8,7,19,3,3,1,3,8,45,0.425,0.308,0.875,5.8,2.8,1.2,0.2,Feb 23 1983,Los Angeles
350,Hollis Thompson\thompho01,4,2014,2017,265,6424,742,1795,363,941,203,287,199,829,292,166,68,213,541,2050,0.413,0.386,0.707,24.2,7.7,3.1,1.1,Apr 3 1991,Pasadena
351,Klay Thompson\thompkl01,8,2012,2019,615,20340,4512,9824,1798,4291,1173,1384,273,2130,1416,561,332,1053,1313,11995,0.459,0.419,0.848,33.1,19.5,3.5,2.3,Feb 8 1990,Los Angeles
352,Mychel Thompson\thompmy02,1,2012,2012,5,95,7,24,4,11,0,0,0,5,7,2,1,5,8,18,0.292,0.364,,19,3.6,1,1.4,Jun 1 1988,Los Angeles
353,Stephen Thompson\thompst01,1,1992,1992,19,91,14,37,0,1,3,8,11,19,8,6,3,5,9,31,0.378,0,0.375,4.8,1.6,1,0.4,Dec 2 1968,Los Angeles
354,Bob Thornton\thornbo01,8,1986,1996,283,3386,320,720,2,9,202,362,267,712,99,74,35,210,578,844,0.444,0.222,0.558,12,3,2.5,0.3,Jul 10 1962,Los Angeles
355,Tom Tolbert\tolbeto01,7,1989,1995,312,5680,757,1647,29,98,487,680,406,1251,285,116,109,347,741,2030,0.46,0.296,0.716,18.2,6.5,4,0.9,Oct 16 1965,Long Beach
356,Jack Toomay\toomaja01,3,1948,1950,131,,297,789,,,282,408,,,113,,,,349,876,0.376,,0.691,,6.7,,0.9,Aug 9 1922,Ontario
357,Juan Toscano-Anderson\toscaju01,1,2020,2020,13,272,29,63,8,23,3,5,9,52,26,13,5,16,30,69,0.46,0.348,0.6,20.9,5.3,4,2,Apr 10 1993,Oakland
358,Raymond Townsend\townsra01,3,1979,1982,154,2025,309,751,6,35,121,172,46,157,217,90,10,122,201,745,0.411,0.171,0.703,13.1,4.8,1,1.4,Dec 20 1955,San Jose
359,Jeff Trepagnier\trepaje01,3,2002,2004,31,270,34,101,6,13,14,20,17,43,22,19,4,25,20,88,0.337,0.462,0.7,8.7,2.8,1.4,0.7,Jul 11 1979,Los Angeles
360,John Tschogl\tschojo01,3,1973,1975,113,1216,126,354,,,25,43,85,208,69,42,45,,174,277,0.356,,0.581,10.8,2.5,1.8,0.6,Apr 25 1950,Chula Vista
361,Henry Turner\turnehe02,2,1990,1995,66,464,81,179,2,8,60,100,39,78,29,25,8,38,60,224,0.453,0.25,0.6,7,3.4,1.2,0.4,Aug 18 1966,Oakland
